URL,Content_Type,Source,Category,Title,Image
https://www.ted.com/talks/leah_chase_and_pat_mitchell_an_interview_with_the_queen_of_creole_cuisine,Videos,TED,Curiosity,,
https://www.ted.com/talks/ines_hercovich_why_women_stay_silent_after_sexual_assault,Videos,TED,Curiosity,,
https://www.ted.com/talks/natsai_audrey_chieza_fashion_has_a_pollution_problem_can_biology_fix_it,Videos,TED,Curiosity,,
https://www.ted.com/talks/jon_bowers_we_should_aim_for_perfection_and_stop_fearing_failure,Videos,TED,Curiosity,,
https://www.ted.com/talks/luvvie_ajayi_get_comfortable_with_being_uncomfortable,Videos,TED,Curiosity,,
https://www.ted.com/talks/teresa_njoroge_what_i_learned_serving_time_for_a_crime_i_didn_t_commit,Videos,TED,Curiosity,,
https://www.ted.com/talks/david_titley_how_the_military_fights_climate_change,Videos,TED,Curiosity,,
https://www.ted.com/talks/per_espen_stoknes_how_to_transform_apocalypse_fatigue_into_action_on_global_warming,Videos,TED,Curiosity,,
https://www.ted.com/talks/sarah_corbett_activism_needs_introverts,Videos,TED,Curiosity,,
https://www.ted.com/talks/elizabeth_blackburn_the_science_of_cells_that_never_get_old,Videos,TED,Curiosity,,
https://www.ted.com/talks/sebastian_thrun_and_chris_anderson_the_new_generation_of_computers_is_programming_itself,Videos,TED,Curiosity,,
https://www.ted.com/talks/rocio_lorenzo_want_a_more_innovative_company_hire_more_women,Videos,TED,Curiosity,,
https://www.ted.com/talks/just_how_small_is_an_atom,Videos,TED,Curiosity,,
https://www.ted.com/talks/john_lloyd_an_animated_tour_of_the_invisible,Videos,TED,Curiosity,,
https://www.ted.com/talks/questions_no_one_knows_the_answers_to,Videos,TED,Curiosity,,
https://www.ted.com/playlists/314/talks_to_watch_with_the_entire,Videos,TED,Curiosity,,
https://www.ted.com/talks/regina_hartley_why_the_best_hire_might_not_have_the_perfect_resume,Videos,TED,Curiosity,,
https://www.ted.com/talks/jonas_gahr_store_in_defense_of_dialogue,Videos,TED,Curiosity,,
https://www.ted.com/talks/sheena_iyengar_on_the_art_of_choosing,Videos,TED,Curiosity,,
https://www.ted.com/talks/william_ury,Videos,TED,Curiosity,,
https://www.ted.com/talks/colin_camerer_neuroscience_game_theory_monkeys,Videos,TED,Curiosity,,
https://www.ted.com/talks/martin_reeves_how_to_build_a_business_that_lasts_100_years,Videos,TED,Curiosity,,
https://www.ted.com/talks/jim_hemerling_5_ways_to_lead_in_an_era_of_constant_change,Videos,TED,Curiosity,,
https://www.ted.com/talks/verna_myers_how_to_overcome_our_biases_walk_boldly_toward_them,Videos,TED,Curiosity,,
https://www.ted.com/talks/jr_one_year_of_turning_the_world_inside_out,Videos,TED,Curiosity,,
https://www.ted.com/talks/sheryl_sandberg_why_we_have_too_few_women_leaders,Videos,TED,Curiosity,,
https://www.ted.com/talks/a_j_jacobs_year_of_living_biblically,Videos,TED,Curiosity,,
https://www.ted.com/talks/shonda_rhimes_my_year_of_saying_yes_to_everything,Videos,TED,Curiosity,,
https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice,Videos,TED,Curiosity,,
https://www.ted.com/talks/ann_morgan_my_year_reading_a_book_from_every_country_in_the_world,Videos,TED,Curiosity,,
https://www.ted.com/talks/rives_a_museum_of_4_o_clock_in_the_morning,Videos,TED,Curiosity,,
https://www.ted.com/talks/sally_kohn_don_t_like_clickbait_don_t_click,Videos,TED,Curiosity,,
https://www.ted.com/talks/frans_de_waal_do_animals_have_morals,Videos,TED,Curiosity,,
https://www.ted.com/talks/richard_st_john_success_is_a_continuous_journey,Videos,TED,Curiosity,,
https://www.ted.com/talks/phil_hansen_embrace_the_shake,Videos,TED,Curiosity,,
https://www.ted.com/talks/william_noel_revealing_the_lost_codex_of_archimedes,Videos,TED,Curiosity,,
https://www.ted.com/talks/david_brooks_should_you_live_for_your_resume_or_your_eulogy,Videos,TED,Curiosity,,
https://www.ted.com/talks/graham_hill_less_stuff_more_happiness,Videos,TED,Curiosity,,
https://www.ted.com/talks/j_j_abrams_mystery_box,Videos,TED,Curiosity,,
https://www.ted.com/talks/dan_gilbert_you_are_always_changing,Videos,TED,Curiosity,,
https://www.ted.com/talks/jason_fried_why_work_doesn_t_happen_at_work,Videos,TED,Curiosity,,
https://www.ted.com/talks/elizabeth_gilbert_success_failure_and_the_drive_to_keep_creating,Videos,TED,Curiosity,,
https://www.ted.com/talks/steven_pinker_and_rebecca_newberger_goldstein_the_long_reach_of_reason,Videos,TED,Curiosity,,
https://www.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are,Videos,TED,Curiosity,,
https://www.ted.com/talks/claron_mcfadden_singing_the_primal_mystery,Videos,TED,Curiosity,,
https://www.ted.com/talks/jim_holt_why_does_the_universe_exist,Videos,TED,Curiosity,,
https://www.ted.com/talks/marcus_du_sautoy_symmetry_reality_s_riddle,Videos,TED,Curiosity,,
https://www.ted.com/talks/suzana_herculano_houzel_what_is_so_special_about_the_human_brain,Videos,TED,Curiosity,,
https://www.ted.com/talks/juan_enriquez_will_our_kids_be_a_different_species,Videos,TED,Curiosity,,
https://www.ted.com/talks/nina_tandon_could_tissue_engineering_mean_personalized_medicine,Videos,TED,Curiosity,,
https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test,Videos,TED,Curiosity,,
https://www.ted.com/talks/chimamanda_ngozi_adichie_we_should_all_be_feminists,Videos,TED,Curiosity,,
https://www.ted.com/talks/pattie_maes_demos_the_sixth_sense,Videos,TED,Curiosity,,
https://www.ted.com/talks/michael_dickinson_how_a_fly_flies,Videos,TED,Curiosity,,
https://www.ted.com/talks/sophie_scott_why_we_laugh,Videos,TED,Curiosity,,
https://www.ted.com/talks/dan_gilbert_researches_happiness,Videos,TED,Curiosity,,
https://www.ted.com/talks/julian_treasure_why_architects_need_to_use_their_ears,Videos,TED,Curiosity,,
https://www.ted.com/talks/julian_treasure_the_4_ways_sound_affects_us,Videos,TED,Curiosity,,
https://www.ted.com/talks/ken_robinson_how_to_escape_education_s_death_valley,Videos,TED,Curiosity,,
https://www.ted.com/talks/nicholas_negroponte_in_1984_makes_5_predictions,Videos,TED,Curiosity,,
https://www.ted.com/talks/frank_gehry_as_a_young_rebel,Videos,TED,Curiosity,,
https://www.ted.com/talks/danny_hillis_back_to_the_future_of_1994,Videos,TED,Curiosity,,
https://www.ted.com/talks/bryan_stevenson_we_need_to_talk_about_an_injustice,Videos,TED,Curiosity,,
https://www.ted.com/talks/eva_zeisel_on_the_playful_search_for_beauty,Videos,TED,Curiosity,,
https://www.ted.com/talks/ron_finley_a_guerilla_gardener_in_south_central_la,Videos,TED,Curiosity,,
https://www.ted.com/talks/paul_maccready_on_nature_vs_humans,Videos,TED,Curiosity,,
https://www.ted.com/talks/david_gallo_on_life_in_the_deep_oceans,Videos,TED,Curiosity,,
https://www.ted.com/talks/kary_mullis_on_what_scientists_do,Videos,TED,Curiosity,,
https://www.ted.com/talks/steven_johnson_on_the_web_as_a_city,Videos,TED,Curiosity,,
https://www.ted.com/talks/jeff_kirschner_this_app_makes_it_fun_to_pick_up_litter,Videos,TED,Curiosity,,
https://www.ted.com/talks/julian_treasure_5_ways_to_listen_better,Videos,TED,Curiosity,,
https://www.ted.com/talks/sheila_patek_clocks_the_fastest_animals,Videos,TED,Curiosity,,
https://www.ted.com/talks/celeste_headlee_10_ways_to_have_a_better_conversation,Videos,TED,Curiosity,,
https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves,Videos,TED,Curiosity,,
https://www.ted.com/talks/eduardo_briceno_how_to_get_better_at_the_things_you_care_about,Videos,TED,Curiosity,,
https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe,Videos,TED,Curiosity,,
https://www.ted.com/talks/ngozi_okonjo_iweala_on_doing_business_in_africa,Videos,TED,Curiosity,,
https://www.ted.com/talks/sayu_bhojwani_how_immigrant_voices_make_democracy_stronger,Videos,TED,Curiosity,,
https://www.ted.com/talks/bill_gates_unplugged,Videos,TED,Curiosity,,
https://www.ted.com/talks/ken_robinson_changing_education_paradigms,Videos,TED,Curiosity,,
https://www.ted.com/talks/jane_mcgonigal_gaming_can_make_a_better_world,Videos,TED,Curiosity,,
https://www.ted.com/talks/jr_s_ted_prize_wish_use_art_to_turn_the_world_inside_out,Videos,TED,Curiosity,,
https://www.ted.com/talks/linda_liukas_a_delightful_way_to_teach_kids_about_computers,Videos,TED,Curiosity,,
https://www.ted.com/talks/adam_foss_a_prosecutor_s_vision_for_a_better_justice_system,Videos,TED,Curiosity,,
https://www.ted.com/talks/salman_khan_let_s_use_video_to_reinvent_education,Videos,TED,Curiosity,,
https://www.ted.com/talks/sir_ken_robinson_bring_on_the_revolution,Videos,TED,Curiosity,,
https://www.ted.com/talks/daphne_bavelier_your_brain_on_video_games,Videos,TED,Curiosity,,
https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe,Videos,TED,Curiosity,,
https://www.ted.com/talks/deep_ocean_mysteries_and_wonders,Videos,TED,Curiosity,,
https://www.ted.com/talks/brene_brown_listening_to_shame,Videos,TED,Curiosity,,
https://www.ted.com/talks/julian_treasure_shh_sound_health_in_8_steps,Videos,TED,Curiosity,,
https://www.ted.com/talks/t_morgan_dixon_and_vanessa_garrison_walking_as_a_revolutionary_act_of_self_care,Videos,TED,Curiosity,,
https://www.ted.com/talks/tristan_harris_the_manipulative_tricks_tech_companies_use_to_capture_your_attention,Videos,TED,Curiosity,,
https://www.ted.com/talks/casey_brown_know_your_worth_and_then_ask_for_it,Videos,TED,Curiosity,,
https://www.ted.com/talks/sara_dewitt_3_fears_about_screen_time_for_kids_and_why_they_re_not_true,Videos,TED,Curiosity,,
https://www.ted.com/talks/guy_winch_the_case_for_emotional_hygiene,Videos,TED,Curiosity,,
https://www.ted.com/talks/tom_gruber_how_ai_can_enhance_our_memory_work_and_social_lives,Videos,TED,Curiosity,,
https://www.ted.com/talks/caroline_paul_to_raise_brave_girls_encourage_adventure,Videos,TED,Curiosity,,
https://www.ted.com/talks/adam_alter_why_our_screens_make_us_less_happy,Videos,TED,Curiosity,,
