URL,Content_type,Source,Category,Range,Title,Content_image
https://www.youtube.com/watch?v=zdCfvUAmuiY,Lectures,Yale,Enrionmental,17,17.  Seasons  and  Climate,https://i.ytimg.com/vi/zdCfvUAmuiY/hqdefault.jpg
https://www.youtube.com/watch?v=Uu0Zcenckss,Lectures,Yale,Enrionmental,18,18.  Seasons  and  Climate  Classification,https://i.ytimg.com/vi/Uu0Zcenckss/hqdefault.jpg
https://www.youtube.com/watch?v=EN8ynx-R0wY,Lectures,Yale,Enrionmental,19,19.  Ocean  Bathymetry  and  Water  Properties,https://i.ytimg.com/vi/EN8ynx-R0wY/hqdefault.jpg
https://www.youtube.com/watch?v=PE_ELrjDe0E,Lectures,Yale,Enrionmental,20,20.  Ocean  Water  Density  and  Atmospheric  Forcing,https://i.ytimg.com/vi/PE_ELrjDe0E/hqdefault.jpg
https://www.youtube.com/watch?v=gsCAkXmUkCU,Lectures,Yale,Enrionmental,21,21.  Ocean  Currents,https://i.ytimg.com/vi/gsCAkXmUkCU/hqdefault.jpg
https://www.youtube.com/watch?v=4b3xQvLHvAo,Lectures,Yale,Enrionmental,22,22.  Ocean  Currents  and  Productivity,https://i.ytimg.com/vi/4b3xQvLHvAo/hqdefault.jpg
https://www.youtube.com/watch?v=bK-n0CeFWtk,Lectures,Yale,Enrionmental,23,23.  El  Niño,https://i.ytimg.com/vi/bK-n0CeFWtk/hqdefault.jpg
https://www.youtube.com/watch?v=aLj4Lz79d3c,Lectures,Yale,Enrionmental,24,24.  Ice  in  the  Climate  System,https://i.ytimg.com/vi/aLj4Lz79d3c/hqdefault.jpg
https://www.youtube.com/watch?v=F8IK-Ja7qtI,Lectures,Yale,Enrionmental,25,25.  Ice  and  climate  change,https://i.ytimg.com/vi/F8IK-Ja7qtI/hqdefault.jpg
https://www.youtube.com/watch?v=GMmE4d_aCXE,Lectures,Yale,Enrionmental,26,26.  Isotope  Evidence  for  Climate  Change,https://i.ytimg.com/vi/GMmE4d_aCXE/hqdefault.jpg
https://www.youtube.com/watch?v=v58qQMElT2k,Lectures,Yale,Enrionmental,27,27.  Global  Warming,https://i.ytimg.com/vi/v58qQMElT2k/hqdefault.jpg
https://www.youtube.com/watch?v=-m1VY8cycsY,Lectures,Yale,Enrionmental,28,28.  Global  Warming  (continued),https://i.ytimg.com/vi/-m1VY8cycsY/hqdefault.jpg
https://www.youtube.com/watch?v=3r4QpEf3pyc,Lectures,Yale,Enrionmental,29,29.  Global  Warming  (continued),https://i.ytimg.com/vi/3r4QpEf3pyc/hqdefault.jpg
https://www.youtube.com/watch?v=F2wrDRNRfHk,Lectures,Yale,Enrionmental,30,30.  Climate  Sensitivity  and  Human  Population,https://i.ytimg.com/vi/F2wrDRNRfHk/hqdefault.jpg
https://www.youtube.com/watch?v=CZUivMxgT-0,Lectures,Yale,Enrionmental,31,31.  The  Two  Ozone  Problems,https://i.ytimg.com/vi/CZUivMxgT-0/hqdefault.jpg
https://www.youtube.com/watch?v=3EgVrXrMzgo,Lectures,Yale,Enrionmental,32,32.  The  Ozone  Layer,https://i.ytimg.com/vi/3EgVrXrMzgo/hqdefault.jpg
https://www.youtube.com/watch?v=yT-Hz7gFmGU,Lectures,Yale,Enrionmental,33,"33.  Energy  Resources,  Renewable  Energy",https://i.ytimg.com/vi/yT-Hz7gFmGU/hqdefault.jpg
https://www.youtube.com/watch?v=lQuyMgwQqM0,Lectures,Yale,Enrionmental,34,34.  Renewable  Energy,https://i.ytimg.com/vi/lQuyMgwQqM0/hqdefault.jpg
https://www.youtube.com/watch?v=nASteiBs54c,Lectures,Yale,Enrionmental,35,35.  Review  and  Overview,https://i.ytimg.com/vi/nASteiBs54c/hqdefault.jpg
https://www.youtube.com/watch?v=8PHMR-U9R-g,Lectures,Yale,Behavioural Science,1,Experts  in  Emotion  1.0:  June  Gruber  Introduces  Series,https://i.ytimg.com/vi/8PHMR-U9R-g/hqdefault.jpg
https://www.youtube.com/watch?v=3tn9z1PngYA,Lectures,Yale,Behavioural Science,2,Experts  in  Emotion  1.2  --  Lisa  Feldman  Barrett  on  What  is  an  Emotion,https://i.ytimg.com/vi/3tn9z1PngYA/hqdefault.jpg
https://www.youtube.com/watch?v=rJoyyJE3QJU,Lectures,Yale,Behavioural Science,3,Experts  in  Emotion  2.1  --  John  J.B.  Allen  on  Emotion  Elicitation,https://i.ytimg.com/vi/rJoyyJE3QJU/hqdefault.jpg
https://www.youtube.com/watch?v=AKge_bLSFi4,Lectures,Yale,Behavioural Science,4,Experts  in  Emotion  2.2  --  Greg  Siegle  on  Emotion  Elicitation,https://i.ytimg.com/vi/AKge_bLSFi4/hqdefault.jpg
https://www.youtube.com/watch?v=dDMdE3MnBFU,Lectures,Yale,Behavioural Science,5,Experts  in  Emotion  2.3  --  Iris  Mauss  on  Measuring  Emotion,https://i.ytimg.com/vi/dDMdE3MnBFU/hqdefault.jpg
https://www.youtube.com/watch?v=NxEZoMIapoM,Lectures,Yale,Behavioural Science,6,Experts  in  Emotion  3.1  --  Laurie  Santos  on  Do  Animals  Feel  and  Think  Like  Us,https://i.ytimg.com/vi/NxEZoMIapoM/hqdefault.jpg
https://www.youtube.com/watch?v=JP8ey3Nmbe8,Lectures,Yale,Behavioural Science,7,Experts  in  Emotion  3.2  --  Lisa  Parr  on  Emotion  Expression  &  Recognition  in  Chimpanzees,https://i.ytimg.com/vi/JP8ey3Nmbe8/hqdefault.jpg
https://www.youtube.com/watch?v=dr3AUZuRsfw,Lectures,Yale,Behavioural Science,8,Experts  in  Emotion  3.3  --  Jaak  Panksepp  on  Animal  Models  of  Human  Emotion,https://i.ytimg.com/vi/dr3AUZuRsfw/hqdefault.jpg
https://www.youtube.com/watch?v=CUE-c5IvDRY,Lectures,Yale,Behavioural Science,9,Experts  in  Emotion  4.1  --  Leda  Cosmides  &  John  Tooby  on  Evolution  and  Emotion,https://i.ytimg.com/vi/CUE-c5IvDRY/hqdefault.jpg
https://www.youtube.com/watch?v=vghfP9pENGc,Lectures,Yale,Behavioural Science,10,Experts  in  Emotion  4.2  --  Paul  Ekman  on  Universality  of  Emotion,https://i.ytimg.com/vi/vghfP9pENGc/hqdefault.jpg
https://www.youtube.com/watch?v=7OirNs6Nabw,Lectures,Yale,Behavioural Science,11,Experts  in  Emotion  4.3  --  Yulia  Chentsova  Dutton  on  Social  Construction  of  Emotion,https://i.ytimg.com/vi/7OirNs6Nabw/hqdefault.jpg
https://www.youtube.com/watch?v=T46EZ8LH8Ss,Lectures,Yale,Behavioural Science,12,Experts  in  Emotion  5.1  --  Jeanne  Tsai  on  Culture  and  Emotion,https://i.ytimg.com/vi/T46EZ8LH8Ss/hqdefault.jpg
https://www.youtube.com/watch?v=qxSR9U_LbSw,Lectures,Yale,Behavioural Science,13,Experts  in  Emotion  5.2  --  Marianne  La  France  on  Gender  and  Emotion,https://i.ytimg.com/vi/qxSR9U_LbSw/hqdefault.jpg
https://www.youtube.com/watch?v=SNzZeEyu85c,Lectures,Yale,Behavioural Science,14,Experts  in  Emotion  5.3  --  Michael  Bailey  on  Sex  and  Emotion,https://i.ytimg.com/vi/SNzZeEyu85c/hqdefault.jpg
https://www.youtube.com/watch?v=FPmfZLsxJPQ,Lectures,Yale,Behavioural Science,15,Experts  in  Emotion  6.1  --  Jo-Anne  Bachorowski  on  Laughter,https://i.ytimg.com/vi/FPmfZLsxJPQ/hqdefault.jpg
https://www.youtube.com/watch?v=tr2fSyp1sLc,Lectures,Yale,Behavioural Science,16,Experts  in  Emotion  6.2  --  Jonathan  Rottenberg  on  Crying,https://i.ytimg.com/vi/tr2fSyp1sLc/hqdefault.jpg
https://www.youtube.com/watch?v=uRW_UA7Yx04,Lectures,Yale,Behavioural Science,17,Experts  in  Emotion  6.3  --  Matthew  Hertenstein  on  Touch,https://i.ytimg.com/vi/uRW_UA7Yx04/hqdefault.jpg
https://www.youtube.com/watch?v=h2FVFlychL4,Lectures,Yale,Behavioural Science,18,Experts  in  Emotion  7.1  --  John  Cacioppo  on  Psychophysiology,https://i.ytimg.com/vi/h2FVFlychL4/hqdefault.jpg
https://www.youtube.com/watch?v=RAF-22U2wo4,Lectures,Yale,Behavioural Science,19,Experts  in  Emotion  7.2  --  Wendy  Berry  Mendes  on  Psychophysiology  Measurement  and  Health,https://i.ytimg.com/vi/RAF-22U2wo4/hqdefault.jpg
https://www.youtube.com/watch?v=DImvHHUxNZE,Lectures,Yale,Behavioural Science,20,Experts  in  Emotion  7.3  --  Robert  Levenson  on  Psychophysiology  and  Emotion,https://i.ytimg.com/vi/DImvHHUxNZE/hqdefault.jpg
https://www.youtube.com/watch?v=30ldoyclwHE,Lectures,Yale,Behavioural Science,21,Experts  in  Emotion  8.1  --  Richard  Davidson  on  Affective  Neuroscience,https://i.ytimg.com/vi/30ldoyclwHE/hqdefault.jpg
https://www.youtube.com/watch?v=51rGE1DgIo0,Lectures,Yale,Behavioural Science,22,Experts  in  Emotion  8.2  --  Kent  Berridge  on  Pleasure  and  Reward  in  the  Brain,https://i.ytimg.com/vi/51rGE1DgIo0/hqdefault.jpg
https://www.youtube.com/watch?v=z-8XCK9P430,Lectures,Yale,Behavioural Science,23,Experts  in  Emotion  8.3  --  Tor  Wager  on  Emotion  and  the  Brain,https://i.ytimg.com/vi/z-8XCK9P430/hqdefault.jpg
https://www.youtube.com/watch?v=N9YKsv_ukTQ,Lectures,Yale,Behavioural Science,24,Experts  in  Emotion  9.1  --  Jessica  Tracy  on  Self-Conscious  Emotions,https://i.ytimg.com/vi/N9YKsv_ukTQ/hqdefault.jpg
https://www.youtube.com/watch?v=NfzTpSCkcjA,Lectures,Yale,Behavioural Science,25,Experts  in  Emotion  9.2  --  Dacher  Keltner  on  Embarrassment,https://i.ytimg.com/vi/NfzTpSCkcjA/hqdefault.jpg
https://www.youtube.com/watch?v=gqlJy4nBQAc,Lectures,Yale,Behavioural Science,26,Experts  in  Emotion  9.3a  --  Naomi  Eisenberger  on  Social  Pain  and  Pleasure,https://i.ytimg.com/vi/gqlJy4nBQAc/hqdefault.jpg
https://www.youtube.com/watch?v=p8s6Jtzukos,Lectures,Yale,Behavioural Science,27,Experts  in  Emotion  9.3b  --  June  Tangney  on  Guilt  and  Shame,https://i.ytimg.com/vi/p8s6Jtzukos/hqdefault.jpg
https://www.youtube.com/watch?v=0-ViQHMKrP0,Lectures,Yale,Behavioural Science,28,Experts  in  Emotion  10.1  --  David  Rand  on  Emotion  and  Cooperation,https://i.ytimg.com/vi/0-ViQHMKrP0/hqdefault.jpg
https://www.youtube.com/watch?v=701QEmZcYfE,Lectures,Yale,Behavioural Science,29,Experts  in  Emotion  10.2  --  David  DeSteno  on  Emotions  and  Social  Interaction,https://i.ytimg.com/vi/701QEmZcYfE/hqdefault.jpg
https://www.youtube.com/watch?v=iBxpOQX2WxM,Lectures,Yale,Behavioural Science,30,Experts  in  Emotion  10.3  --  Margaret  Clark  on  Emotions  and  Relationships,https://i.ytimg.com/vi/iBxpOQX2WxM/hqdefault.jpg
https://www.youtube.com/watch?v=q9_b_yF-huA,Lectures,Yale,Behavioural Science,31,Experts  in  Emotion  11.1a  --  Jonathan  Haidt  on  Morality  and  Emotion,https://i.ytimg.com/vi/q9_b_yF-huA/hqdefault.jpg
https://www.youtube.com/watch?v=9nVvy89TtMs,Lectures,Yale,Behavioural Science,32,Experts  in  Emotion  11.1b  --  David  Pizarro  on  Morality  and  Disgust,https://i.ytimg.com/vi/9nVvy89TtMs/hqdefault.jpg
https://www.youtube.com/watch?v=h4cvx0zYgD8,Lectures,Yale,Behavioural Science,33,Experts  in  Emotion  11.2  --  Jamil  Zaki  on  Empathy,https://i.ytimg.com/vi/h4cvx0zYgD8/hqdefault.jpg
https://www.youtube.com/watch?v=IQufyzz2vHE,Lectures,Yale,Behavioural Science,34,Experts  in  Emotion  11.3  --  Steven  Pinker  on  Violence  and  Emotion,https://i.ytimg.com/vi/IQufyzz2vHE/hqdefault.jpg
https://www.youtube.com/watch?v=A2zzwdC00wY,Lectures,Yale,Behavioural Science,35,Experts  in  Emotion  12.1  --  Gerald  Clore  on  Emotion  and  Cognition,https://i.ytimg.com/vi/A2zzwdC00wY/hqdefault.jpg
https://www.youtube.com/watch?v=DC---WfHzrQ,Lectures,Yale,Behavioural Science,36,Experts  in  Emotion  12.2  --  Derek  Isaacowitz  on  Attention  and  Emotion,https://i.ytimg.com/vi/DC---WfHzrQ/hqdefault.jpg
https://www.youtube.com/watch?v=S4omk_ONo6M,Lectures,Yale,Behavioural Science,37,Experts  in  Emotion  12.3  --  John  Bargh  on  Unconscious  Emotion,https://i.ytimg.com/vi/S4omk_ONo6M/hqdefault.jpg
https://www.youtube.com/watch?v=hfAZbUDLTS8,Lectures,Yale,Behavioural Science,38,Experts  in  Emotion  13.1  --  Jennifer  Lerner  on  Emotion  and  Judgment,https://i.ytimg.com/vi/hfAZbUDLTS8/hqdefault.jpg
